pair,turn,round,type,is_gesture,from_ts,to_ts,referent,comment,duration,object,speech,speaker,trial,director,correct_answer,given_answer,accuracy,processed_utterance,pos_sequence,lemmas_sequence,text_lemma_pos,turn_from_ts,turn_to_ts,hand,pair_speaker,words,lemmas,pos,lemmas_pos,transcriptions,contain_text,segmentation method
pair04,0,1,iconic,gesture,4.093,4.505,main,,0.4119999999999999,09,um okee het is laat maar zeggen dat hoofdplatform ,B,1,B,5,5,1,okee het is laat maar zeggen dat hoofdplatform,VERB PRON AUX VERB ADV VERB SCONJ NOUN ,okee het zijn laten maar zeggen dat hoofdplatform ,okee_okee#VERB het_het#PRON is_zijn#AUX laat_laten#VERB maar_maar#ADV zeggen_zeggen#VERB dat_dat#SCONJ hoofdplatform_hoofdplatform#NOUN ,1.399,4.848,"R, L",pair04_B,zeggen dat hoofdplatform,zeggen dat hoofdplatform,VERB SCONJ NOUN,zeggen#VERB dat#SCONJ hoofdplatform#NOUN,manual,True,manual
pair04,2,1,iconic,gesture,8.459,8.941,09C,,0.4820000000000011,09,um met daaromheen uit- een uitsteek- steeksel aan de linkerkant,B,1,B,5,5,1,met daaromheen een steeksel aan de linkerkant,ADP ADV DET NOUN ADP DET NOUN ,met daaromheen een steeksel aan de linkerkant ,met_met#ADP daaromheen_daaromheen#ADV een_een#DET steeksel_steeksel#NOUN aan_aan#ADP de_de#DET linkerkant_linkerkant#NOUN ,5.579,9.639,L,pair04_B,steeksel aan de linkerkant,steeksel aan de linkerkant,NOUN ADP DET NOUN,steeksel#NOUN aan#ADP de#DET linkerkant#NOUN,manual,True,manual
pair04,4,1,iconic,gesture,11.781,12.2,09C,,0.4189999999999987,09,het is een rond uitsteeksel,B,1,B,5,5,1,het is een rond uitsteeksel,PRON AUX DET ADP NOUN ,het zijn een rond uitsteeksel ,het_het#PRON is_zijn#AUX een_een#DET rond_rond#ADP uitsteeksel_uitsteeksel#NOUN ,9.94,12.711,L,pair04_B,is een rond uitsteeksel,zijn een rond uitsteeksel,AUX DET ADP NOUN,zijn#AUX een#DET rond#ADP uitsteeksel#NOUN,manual,True,manual
pair04,4,1,iconic,gesture,12.29,12.732,09C,Post-stroke hold,0.44200000000000017,09,het is een rond uitsteeksel,B,1,B,5,5,1,het is een rond uitsteeksel,PRON AUX DET ADP NOUN ,het zijn een rond uitsteeksel ,het_het#PRON is_zijn#AUX een_een#DET rond_rond#ADP uitsteeksel_uitsteeksel#NOUN ,9.94,12.711,L,pair04_B,Uitsteksel.,uitsteksel . ,NOUN PUNCT ,uitsteksel#NOUN .#PUNCT ,automatic,True,manual
pair04,5,1,iconic,gesture,11.97,12.389,15A-WF,superimposed beats,0.4189999999999987,09,staan er twee streepjes op dat dingetje?,A,1,B,5,5,1,staan er twee streepjes op dat dingetje,VERB ADV NUM NOUN ADP DET NOUN ,staan er twee streep op dat dinge ,staan_staan#VERB er_er#ADV twee_twee#NUM streepjes_streep#NOUN op_op#ADP dat_dat#DET dingetje_dinge#NOUN ,11.187,14.657,L,pair04_A,er twee,er twee,ADV NUM,er#ADV twee#NUM,manual,True,manual
pair04,6,1,iconic,gesture,15.0,15.377,09D,,0.37700000000000067,09,nee één,B,1,B,5,5,1,nee één,INTJ NUM ,nee één ,nee_nee#INTJ één_één#NUM ,14.69,15.365,L,pair04_B,nee één,nee één,INTJ NUM,nee#INTJ één#NUM,manual,True,manual
pair04,7,1,iconic,gesture,16.726,17.075,09A,,0.3490000000000002,09,en dan boven steekt dus laat maar zeggen zo'n op- ja op de kop zo'n kegel uit,B,1,B,5,5,1,en dan boven steekt dus laat maar zeggen zo'n ja op de kop zo'n kegel uit,CCONJ ADV ADP VERB ADV VERB ADV VERB PRON INTJ ADP DET NOUN DET NOUN ADP ,en dan boven opsteken dus laten maar zeggen zo'n ja op de kop zo'n kegel uit ,en_en#CCONJ dan_dan#ADV boven_boven#ADP steekt_opsteken#VERB dus_dus#ADV laat_laten#VERB maar_maar#ADV zeggen_zeggen#VERB zo'n_zo'n#PRON ja_ja#INTJ op_op#ADP de_de#DET kop_kop#NOUN zo'n_zo'n#DET kegel_kegel#NOUN uit_uit#ADP ,15.754,19.591,"R, L",pair04_B,steekt dus laat maar zeggen zo'n,opsteken dus laten maar zeggen zo'n,VERB ADV VERB ADV VERB PRON,opsteken#VERB dus#ADV laten#VERB maar#ADV zeggen#VERB zo'n#PRON,manual,True,manual
pair04,7,1,iconic,gesture,18.79,19.238,09A,,0.4480000000000004,09,en dan boven steekt dus laat maar zeggen zo'n op- ja op de kop zo'n kegel uit,B,1,B,5,5,1,en dan boven steekt dus laat maar zeggen zo'n ja op de kop zo'n kegel uit,CCONJ ADV ADP VERB ADV VERB ADV VERB PRON INTJ ADP DET NOUN DET NOUN ADP ,en dan boven opsteken dus laten maar zeggen zo'n ja op de kop zo'n kegel uit ,en_en#CCONJ dan_dan#ADV boven_boven#ADP steekt_opsteken#VERB dus_dus#ADV laat_laten#VERB maar_maar#ADV zeggen_zeggen#VERB zo'n_zo'n#PRON ja_ja#INTJ op_op#ADP de_de#DET kop_kop#NOUN zo'n_zo'n#DET kegel_kegel#NOUN uit_uit#ADP ,15.754,19.591,R,pair04_B,kop zo'n kegel uit,kop zo'n kegel uit,NOUN DET NOUN ADP,kop#NOUN zo'n#DET kegel#NOUN uit#ADP,manual,True,manual
pair04,8,1,iconic,gesture,20.255,21.424,09D,,1.1690000000000005,09,(en) daarachter een cirkel,B,1,B,5,5,1,en daarachter een cirkel,CCONJ ADV DET NOUN ,en daarachter een cirkel ,en_en#CCONJ daarachter_daarachter#ADV een_een#DET cirkel_cirkel#NOUN ,19.865,21.225,R,pair04_B,en daarachter een cirkel zit daaraan,en daarachter een cirkel zitten daaraan,CCONJ ADV DET NOUN VERB ADV,en#CCONJ daarachter#ADV een#DET cirkel#NOUN zitten#VERB daaraan#ADV,manual,True,manual
pair04,9,1,iconic,gesture,21.887,22.116,09D,,0.2289999999999992,09,zit daaraan vastgebonden,B,1,B,5,5,1,zit daaraan vastgebonden,VERB ADV VERB ,zitten daaraan vastgebenden ,zit_zitten#VERB daaraan_daaraan#ADV vastgebonden_vastgebenden#VERB ,21.451,22.869,R,pair04_B,zit daaraan,zitten daaraan,VERB ADV,zitten#VERB daaraan#ADV,manual,True,manual
